season,beta,kappa,seed,start_month,moore,suit_thresh,latency_period,a_sd,a_local,a_long,cluster
1,0,1000,1,3,3,0,2,400,0,0,4
2,2,500,0,5,3,0,3,400,100,100,7
2,2,1000,0,5,1,0,1,200,200,0,3
2,2,500,0,5,3,0,3,100,25,50,7
2,2,500,0,5,3,0,2,200,0,0,15
1,1,500,0,4,3,0,2,200,200,0,9
2,1,1000,0,4,3,0,3,125,0,150,1
2,2,500,0,3,3,0,2,50,50,0,9
2,2,500,1,3,2,0,2,100,50,0,2
2,1,500,0,5,1,0,1,150,100,0,3
2,1,500,0,5,2,0,3,300,0,150,16
2,0,1000,0,5,1,0,1,150,100,0,3
2,1,1000,0,4,3,0,3,75,100,100,1
2,1,1000,1,5,3,0,2,600,0,0,4
2,1,500,0,5,3,0,3,75,0,125,7
2,2,1000,0,5,3,0,3,200,50,100,7
2,2,500,0,4,2,0,3,125,25,150,5
1,0,1000,1,4,2,0,2,300,100,0,2
2,1,500,0,4,2,0,3,150,25,150,10
1,2,1000,0,4,1,0,2,25,0,15,11
2,1,1000,0,4,2,0,3,125,100,75,10
1,2,1000,0,3,3,0,2,300,0,0,15
2,1,1000,0,5,3,0,3,150,75,75,7
2,2,500,0,4,2,0,3,100,75,100,5
2,2,1000,0,4,2,0,3,125,50,25,5
2,2,500,0,3,3,0,2,400,400,0,9
1,1,500,1,3,2,0,2,600,600,0,2
2,1,500,0,5,2,0,3,100,100,200,8
2,1,1000,0,5,3,0,3,125,25,125,7
2,2,500,0,5,2,0,3,25,0,150,16
2,2,1000,0,4,2,0,3,50,100,125,5
2,1,1000,0,4,2,0,3,400,0,100,10
2,0,500,0,4,1,0,3,125,0,25,12
1,0,500,1,5,2,0,2,400,600,0,2
2,1,500,0,5,3,0,3,50,25,50,7
2,2,1000,1,4,2,0,2,300,50,0,2
2,0,500,1,3,2,0,2,200,50,0,2
2,1,1000,0,5,2,0,1,400,0,0,14
2,1,500,0,5,3,0,3,50,75,125,7
1,2,500,0,5,1,0,1,600,400,0,3
2,1,1000,0,4,2,0,3,300,100,150,10
2,1,1000,0,4,3,0,3,75,100,75,1
2,0,500,0,3,3,0,2,400,0,0,15
2,2,1000,0,5,3,0,3,50,0,75,7
2,0,1000,0,4,1,0,3,400,0,150,12
2,2,1000,0,5,3,0,3,100,0,200,7
1,2,1000,0,4,1,0,3,150,0,50,11
2,2,1000,0,4,3,0,3,50,25,50,1
2,1,500,1,5,2,0,2,300,50,0,2
2,1,1000,0,4,3,0,3,100,25,25,1
1,0,1000,0,3,2,0,1,600,0,0,14
1,0,500,0,5,3,0,2,150,100,0,9
1,2,1000,1,3,2,0,2,100,100,0,2
1,1,500,0,4,3,0,2,100,0,0,15
2,2,500,0,5,3,0,3,125,0,125,7
2,1,500,0,3,2,0,1,200,0,0,14
2,1,500,0,5,3,0,3,50,100,200,7
2,1,500,1,5,1,0,3,200,0,100,13
2,1,1000,0,5,3,0,2,200,400,0,9
1,2,1000,0,3,3,0,2,400,100,0,9
2,2,1000,0,4,2,0,3,400,0,50,5
2,2,500,0,5,3,0,3,125,50,25,7
2,2,1000,0,5,3,0,2,600,200,0,9
2,0,1000,0,3,2,0,1,600,0,0,14
1,0,500,1,5,2,0,1,150,0,0,6
1,1,500,1,5,2,0,2,300,50,0,2
2,1,500,0,4,2,0,3,100,75,50,5
2,2,1000,0,5,3,0,3,75,100,150,7
1,0,1000,0,3,3,0,2,400,400,0,9
2,1,1000,0,4,3,0,3,50,50,125,1
2,1,1000,1,5,1,0,3,100,0,50,13
2,1,500,0,5,3,0,3,75,0,25,7
2,2,500,0,4,3,0,3,50,100,100,1
2,1,500,0,5,2,0,3,400,0,50,16
2,2,500,0,5,3,0,3,100,50,150,7
2,0,1000,0,3,1,0,3,100,0,25,11
2,0,500,1,3,2,0,2,200,600,0,2
2,1,1000,0,4,3,0,3,200,50,150,1
2,2,500,1,4,2,0,2,300,100,0,2
2,2,1000,0,5,2,0,3,125,100,25,8
1,1,1000,0,5,2,0,1,400,0,0,14
1,2,1000,0,5,2,0,3,25,0,50,11
1,1,1000,1,3,2,0,2,600,600,0,2
1,0,500,1,3,2,0,2,200,50,0,2
2,2,1000,0,4,2,0,3,100,25,50,5
2,1,1000,0,4,2,0,3,400,400,400,10
2,0,500,0,5,1,0,3,50,0,25,13
2,0,500,0,5,3,0,2,100,0,0,15
2,1,1000,0,4,2,0,3,400,0,600,10
2,1,500,0,4,2,0,3,200,400,200,10
2,1,500,0,5,2,0,3,150,0,125,16
2,1,500,0,5,2,0,3,200,100,150,8
2,2,1000,0,4,2,0,3,400,600,400,5
2,2,500,1,4,2,0,2,600,200,0,2
2,1,500,0,5,3,0,3,400,0,400,7
1,0,1000,0,5,2,0,1,300,0,0,14
2,2,500,0,5,3,0,3,100,50,75,7
2,1,500,0,4,2,0,3,400,50,100,10
2,2,500,0,4,3,0,3,400,0,200,1
1,2,1000,1,5,2,0,1,400,0,0,6
2,1,1000,1,5,1,0,3,300,0,100,13
2,2,1000,0,5,3,0,2,300,100,0,9
2,2,500,0,5,2,0,3,400,50,200,8
1,0,500,1,5,2,0,2,200,400,0,2
2,1,500,0,4,3,0,3,100,100,125,1
2,2,500,0,4,2,0,3,100,25,125,5
2,1,1000,0,3,2,0,1,100,0,0,14
2,1,1000,0,4,3,0,3,200,200,600,1
2,2,1000,1,5,2,0,1,400,0,0,6
2,1,1000,1,5,2,0,2,150,100,0,2
2,1,500,1,5,1,0,3,200,0,600,13
2,2,1000,0,4,3,0,3,125,75,150,1
2,2,500,0,5,3,0,3,75,50,125,7
2,2,1000,0,3,2,0,3,150,75,25,11
2,1,1000,0,5,2,0,3,400,200,200,8
1,2,1000,1,3,2,0,2,400,200,0,2
2,1,500,0,5,2,0,3,200,200,400,8
1,1,1000,0,3,2,0,1,100,0,0,14
2,0,500,1,3,2,0,2,400,400,0,2
1,0,1000,0,3,3,0,2,200,600,0,9
2,1,1000,0,4,2,0,3,125,50,150,10
2,2,1000,0,4,3,0,3,100,25,100,1
2,1,500,1,5,2,0,2,600,400,0,2
2,1,1000,1,4,1,0,3,150,0,25,11
2,0,1000,1,5,2,0,2,600,400,0,2
2,1,500,1,4,2,0,1,150,0,0,6
2,1,500,0,3,2,0,3,75,75,25,11
2,2,500,0,4,3,0,3,600,600,200,1
2,0,500,0,5,2,0,3,50,0,75,13
2,1,500,0,5,3,0,3,400,400,600,7
2,2,500,0,5,2,0,1,50,0,0,14
1,2,1000,0,5,1,0,1,100,50,0,3
1,2,500,1,4,3,0,2,600,0,0,4
2,0,1000,0,5,2,0,1,300,0,0,14
2,1,1000,0,4,3,0,3,125,25,75,1
2,1,1000,0,5,3,0,2,400,600,0,9
2,2,500,0,4,3,0,3,50,50,25,1
2,1,500,0,5,3,0,3,50,0,200,7
2,1,1000,0,4,3,0,3,150,100,100,1
2,0,500,0,3,1,0,3,150,0,125,11
2,0,1000,0,4,1,0,3,150,0,25,12
1,1,1000,0,5,3,0,2,200,100,0,9
2,2,1000,0,3,3,0,2,400,400,0,9
2,2,500,0,4,2,0,3,125,50,25,5
2,1,500,0,3,3,0,2,400,100,0,9
1,1,1000,1,5,2,0,1,150,0,0,6
1,2,500,1,4,2,0,2,400,600,0,2
2,2,500,0,4,2,0,3,400,200,400,5
1,2,1000,0,4,1,0,3,600,0,400,11
2,2,1000,0,4,2,0,3,75,75,50,5
2,2,1000,0,4,3,0,3,50,0,200,1
2,2,1000,0,5,3,0,3,100,25,50,7
2,2,500,0,5,1,0,1,200,200,0,3
2,2,500,0,5,3,0,3,100,100,100,7
2,2,1000,0,5,3,0,3,200,100,200,7
2,2,500,0,4,3,0,3,200,400,600,1
2,0,1000,0,3,3,0,2,400,100,0,9
2,1,1000,0,5,3,0,3,600,600,400,7
1,2,500,0,4,3,0,2,150,100,0,9
2,2,1000,0,5,3,0,3,300,50,100,7
2,1,500,0,5,3,0,3,100,75,50,7
1,1,500,0,4,1,0,3,200,0,200,11
2,1,500,1,5,1,0,3,100,0,150,13
2,2,500,0,4,3,0,3,150,50,150,1
2,1,500,0,4,3,0,3,125,50,150,1
2,1,1000,0,5,2,0,3,50,50,125,8
1,0,500,0,5,2,0,1,400,0,0,14
2,2,1000,0,5,3,0,3,600,400,400,7
1,0,1000,0,5,3,0,2,600,200,0,9
2,1,500,0,4,2,0,3,600,600,600,10
2,0,500,1,3,3,0,2,150,0,0,4
1,1,1000,0,4,1,0,3,200,0,200,11
2,2,500,0,5,2,0,3,400,400,200,8
1,2,1000,0,4,1,0,3,400,0,150,11
2,0,1000,0,5,1,0,3,100,25,75,13
2,0,500,0,5,1,0,3,150,25,25,13
2,2,500,0,4,2,0,3,400,100,150,5
2,2,500,1,4,2,0,1,300,0,0,6
2,0,500,0,4,1,0,3,600,0,200,12
1,2,500,0,5,2,0,1,50,0,0,14
1,1,500,0,3,3,0,2,50,50,0,9
2,1,1000,0,5,3,0,3,400,0,100,7
1,1,500,0,5,3,0,2,200,0,0,15
1,1,500,0,4,1,0,3,75,0,125,11
2,0,1000,1,3,2,0,2,100,100,0,2
2,1,500,1,3,2,0,2,100,100,0,2
2,2,500,0,4,2,0,3,125,0,125,5
2,2,500,0,4,3,0,3,50,0,125,1
2,1,1000,0,5,2,0,3,100,25,25,8
2,0,500,1,5,2,0,2,300,100,0,2
2,2,1000,0,4,3,0,3,600,200,200,1
1,0,1000,0,5,3,0,2,300,50,0,9
2,2,1000,0,5,3,0,3,50,50,150,7
1,1,500,0,5,3,0,2,200,100,0,9
2,2,1000,0,4,2,0,3,100,0,200,5
2,1,1000,0,4,3,0,3,400,50,100,1
2,1,1000,0,5,3,0,3,25,0,150,7
1,1,1000,1,5,2,0,2,400,50,0,2
1,1,1000,0,5,1,0,1,200,50,0,3
2,1,1000,1,5,2,0,1,150,0,0,6
2,1,1000,1,5,1,0,3,200,0,400,13
2,1,1000,0,5,1,0,2,150,0,25,11
2,1,500,0,4,2,0,1,400,0,0,14
2,1,500,1,3,2,0,2,400,200,0,2
2,0,1000,0,5,1,0,3,125,25,25,13
2,1,1000,0,5,3,0,3,125,100,125,7
1,2,1000,1,5,2,0,2,600,400,0,2
2,2,1000,0,3,3,0,2,300,50,0,9
2,2,1000,0,5,3,0,3,150,25,100,7
2,0,500,0,4,3,0,2,200,50,0,9
2,2,500,0,4,2,0,3,75,50,125,5
2,0,500,1,5,2,0,2,600,200,0,2
2,1,500,0,4,2,0,3,200,50,150,10
2,2,1000,0,4,3,0,3,300,0,50,1
1,1,1000,1,5,2,0,2,200,200,0,2
2,2,500,1,4,2,0,2,25,25,0,2
1,0,500,0,3,2,0,1,100,0,0,14
2,1,1000,0,5,2,0,3,50,100,200,8
2,2,1000,0,5,3,0,3,100,100,150,7
2,2,1000,0,5,2,0,1,150,0,0,14
2,1,1000,0,5,2,0,3,125,25,75,8
1,2,500,1,4,2,0,2,200,400,0,2
2,0,500,0,5,1,0,3,400,0,50,13
2,2,500,0,5,2,0,3,400,100,50,8
2,0,1000,0,5,1,0,3,100,0,50,13
2,1,500,0,5,3,0,3,300,0,50,7
2,2,1000,0,3,3,0,2,200,600,0,9
2,0,1000,1,3,2,0,2,400,200,0,2
2,1,500,0,4,3,0,3,150,50,25,1
2,2,500,0,4,2,0,3,100,50,75,5
2,1,500,0,4,3,0,3,100,0,75,1
2,2,500,0,5,3,0,3,50,0,25,7
2,2,500,0,5,2,0,3,400,0,200,16
2,2,1000,0,4,2,0,3,400,100,100,5
2,1,500,0,4,2,0,3,125,0,25,5
2,2,500,0,4,3,0,3,75,50,75,1
2,1,500,1,4,1,0,3,200,0,50,11
2,1,500,0,4,2,0,3,400,0,400,10
1,2,1000,0,5,2,0,1,150,0,0,14
2,2,1000,1,5,1,0,3,600,0,200,13
2,1,1000,1,5,1,0,3,150,0,200,13
2,1,500,0,4,3,0,3,150,0,125,1
1,0,1000,0,5,3,0,2,300,100,0,9
2,1,1000,0,5,3,0,3,400,0,600,7
2,0,500,0,4,3,0,2,200,0,0,15
2,2,1000,0,5,3,0,3,100,0,75,7
1,0,500,0,4,3,0,2,200,50,0,9
1,1,500,1,5,2,0,2,200,200,0,2
2,1,500,0,5,2,0,3,125,25,125,8
2,2,1000,0,5,2,0,3,125,0,25,16
2,2,500,0,5,2,0,3,150,25,125,8
2,2,1000,1,5,1,0,3,200,0,50,13
2,1,500,1,5,1,0,3,125,0,100,13
2,1,1000,0,4,3,0,3,75,0,25,1
2,0,1000,0,4,1,0,3,75,0,75,12
2,1,500,0,4,2,0,3,75,100,100,10
2,1,1000,0,4,3,0,3,200,50,50,1
1,0,500,1,4,2,0,2,150,100,0,2
2,0,1000,0,5,1,0,3,100,50,50,13
1,0,1000,0,5,1,0,1,300,50,0,3
1,1,1000,0,5,3,0,2,200,50,0,9
2,1,1000,0,4,3,0,3,150,25,150,1
1,0,1000,1,4,3,0,2,200,0,0,4
2,1,500,0,4,2,0,3,75,75,150,10
1,1,1000,0,4,1,0,3,100,0,125,11
2,2,500,0,4,3,0,3,150,100,75,1
2,1,500,0,4,3,0,3,200,100,100,1
2,1,500,0,4,3,0,3,125,100,75,1
2,0,1000,1,4,2,0,2,50,100,0,2
2,1,500,1,5,1,0,3,50,0,75,13
2,0,1000,0,4,3,0,2,150,50,0,9
2,2,1000,0,5,3,0,3,75,50,125,7
2,2,500,0,3,2,0,1,50,0,0,14
2,2,1000,0,5,2,0,3,100,50,200,8
1,2,500,0,4,3,0,2,100,50,0,9
1,1,1000,0,4,1,0,3,400,0,50,11
2,0,500,0,5,1,0,3,150,25,125,13
1,0,500,0,4,3,0,2,400,600,0,9
2,2,500,0,5,3,0,2,300,100,0,9
2,2,500,0,4,3,0,2,100,50,0,9
2,1,1000,0,5,2,0,3,100,0,100,16
2,1,1000,0,4,2,0,3,150,0,50,5
2,2,1000,0,5,3,0,3,50,100,75,7
2,0,500,0,3,1,0,3,300,0,150,11
2,1,1000,0,5,3,0,3,25,25,75,7
2,2,1000,1,5,1,0,3,75,0,25,13
1,0,500,1,3,3,0,2,300,0,0,4
2,0,1000,1,4,3,0,2,200,0,0,4
2,2,1000,1,4,2,0,2,600,200,0,2
2,2,1000,0,5,2,0,3,25,0,100,16
2,2,1000,0,5,3,0,3,100,50,75,7
1,2,500,1,4,2,0,1,150,0,0,6
2,1,500,0,4,3,0,3,100,50,125,1
2,0,1000,0,5,1,0,3,100,0,150,13
2,0,500,0,5,1,0,3,150,0,100,13
2,2,1000,0,4,3,0,3,400,0,200,1
2,1,1000,0,5,2,0,3,75,50,150,8
2,1,1000,0,4,3,0,3,200,0,150,1
1,1,500,0,4,1,0,3,100,0,125,11
2,1,1000,0,3,3,0,3,50,0,50,11
2,2,1000,0,4,2,0,3,150,100,50,5
2,1,1000,1,4,2,0,2,200,400,0,2
2,1,500,1,4,3,0,2,600,0,0,4
1,2,1000,0,4,1,0,3,50,0,125,11
2,2,1000,1,4,2,0,2,300,100,0,2
2,1,1000,0,5,2,0,3,125,0,150,16
2,1,1000,0,5,3,0,3,300,100,100,7
2,2,500,0,4,3,0,3,75,25,50,1
1,0,500,0,4,3,0,2,200,400,0,9
2,1,500,0,4,3,0,3,300,0,150,1
1,2,500,0,4,3,0,2,50,0,0,15
2,2,500,0,5,3,0,3,400,600,400,7
1,2,1000,0,5,1,0,1,150,100,0,3
2,2,500,0,4,2,0,3,100,25,50,5
1,0,500,1,4,2,0,2,400,50,0,2
2,0,500,0,5,1,0,1,200,100,0,3
2,1,1000,0,4,2,0,3,150,75,75,10
2,0,1000,0,5,1,0,3,125,0,100,13
2,2,500,0,5,3,0,2,600,200,0,9
2,2,1000,0,5,3,0,3,125,50,25,7
2,1,500,0,5,2,0,3,125,75,100,8
1,0,1000,0,3,3,0,2,150,0,0,15
2,2,500,0,5,2,0,3,150,75,100,8
2,1,1000,0,4,2,0,3,600,200,400,10
2,2,500,0,4,3,0,2,100,0,0,15
2,2,500,0,4,3,0,2,50,100,0,9
2,1,1000,0,4,3,0,3,300,50,150,1
2,1,500,0,5,2,0,3,100,25,150,8
2,2,500,1,4,2,0,1,50,0,0,6
1,0,1000,0,5,1,0,1,200,200,0,3
2,2,500,1,4,2,0,2,150,50,0,2
1,0,500,1,5,3,0,2,600,0,0,4
2,1,1000,0,4,3,0,3,50,75,50,1
2,0,1000,0,3,3,0,2,150,0,0,15
2,2,1000,0,5,3,0,3,150,75,125,7
1,2,500,0,3,2,0,1,200,0,0,14
2,1,1000,1,4,2,0,2,400,600,0,2
2,0,500,1,4,2,0,2,15,25,0,2
2,2,1000,0,5,3,0,3,125,0,125,7
1,2,500,0,4,1,0,3,600,0,600,11
2,2,500,0,4,1,0,2,25,0,10,11
1,2,500,1,4,2,0,2,150,50,0,2
2,0,1000,0,4,3,0,2,600,400,0,9
1,2,500,0,4,3,0,2,50,100,0,9
2,1,1000,0,5,2,0,3,150,50,125,8
2,2,500,0,5,3,0,3,100,0,200,7
2,1,500,0,5,3,0,3,600,200,600,7
2,0,1000,1,4,2,0,2,100,50,0,2
2,1,1000,0,5,2,0,3,600,400,200,8
2,1,1000,0,5,2,0,3,125,50,50,8
2,1,1000,0,5,2,0,3,75,0,75,16
2,1,500,0,4,3,0,3,300,50,50,1
2,1,500,0,4,3,0,2,600,400,0,9
2,2,1000,0,5,2,0,3,600,600,200,8
2,1,500,0,5,2,0,3,400,100,200,8
2,1,1000,0,4,3,0,2,150,100,0,9
2,1,1000,0,5,2,0,3,100,0,25,16
2,1,1000,0,5,3,0,3,125,0,75,7
2,2,1000,0,5,3,0,3,400,50,150,7
2,0,500,1,4,2,0,2,400,50,0,2
1,1,500,1,4,2,0,2,400,400,0,2
1,2,500,1,3,2,0,2,400,50,0,2
1,0,1000,0,3,3,0,2,600,0,0,15
2,2,500,0,5,2,0,2,20,0,5,11
1,1,500,0,4,2,0,1,100,0,0,14
2,1,500,0,3,1,0,2,15,0,10,11
2,2,500,0,5,3,0,3,300,0,100,7
2,0,500,0,3,2,0,1,400,0,0,14
2,1,500,0,4,1,0,2,100,0,25,13
1,2,1000,0,4,1,0,3,200,0,50,11
2,0,500,0,3,3,0,2,50,100,0,9
2,1,1000,0,4,2,0,3,75,25,150,10
2,0,1000,0,4,1,0,3,25,0,100,12
2,2,500,1,3,2,0,2,200,200,0,2
2,2,1000,0,4,3,0,3,600,0,600,1
2,0,500,1,3,2,0,2,150,50,0,2
2,1,1000,0,5,3,0,2,400,0,0,15
1,2,1000,0,5,3,0,2,400,50,0,9
2,2,1000,0,5,1,0,2,100,0,25,11
2,2,500,0,4,2,0,3,150,0,200,5
2,0,500,0,4,1,0,3,75,0,100,12
1,2,1000,1,3,3,0,2,100,0,0,4
2,2,1000,0,4,2,0,3,150,100,150,5
1,1,1000,0,5,3,0,2,400,0,0,15
1,0,500,1,3,2,0,2,150,50,0,2
2,1,1000,0,5,3,0,3,100,75,75,7
2,2,1000,0,5,2,0,3,200,50,200,8
2,2,500,0,4,3,0,3,50,0,50,1
1,2,500,1,5,2,0,2,400,200,0,2
1,0,500,0,3,3,0,2,50,100,0,9
2,2,500,0,5,2,0,3,125,100,125,8
2,1,500,0,5,2,0,3,50,50,100,8
2,1,1000,0,5,3,0,3,150,0,75,7
2,0,1000,0,5,1,0,1,100,100,0,3
2,2,1000,1,3,3,0,2,100,0,0,4
2,1,500,0,5,3,0,3,25,0,125,7
1,0,1000,0,4,3,0,2,600,600,0,9
2,2,500,0,5,3,0,3,150,25,150,7
2,2,500,0,4,2,0,3,200,0,400,5
2,1,500,0,5,3,0,3,125,25,150,7
2,2,500,0,5,3,0,3,150,25,50,7
1,0,500,1,5,3,0,2,150,0,0,4
2,0,1000,0,3,3,0,2,600,0,0,15
2,1,500,0,5,2,0,3,200,0,200,16
2,2,500,1,3,2,0,2,400,50,0,2
2,2,1000,0,4,3,0,3,75,25,125,1
2,1,500,0,5,1,0,1,100,100,0,3
2,1,500,0,3,3,0,2,200,0,0,15
2,1,500,0,5,3,0,3,100,75,100,7
2,1,1000,0,5,3,0,3,75,0,50,7
2,1,500,0,5,3,0,2,50,50,0,9
2,1,1000,0,5,3,0,3,150,100,75,7
1,1,1000,1,4,2,0,2,400,400,0,2
2,1,1000,0,5,3,0,3,400,400,200,7
2,2,1000,0,4,2,0,3,150,50,75,5
2,1,1000,0,5,2,0,3,300,0,200,16
2,2,500,0,5,2,0,3,75,75,100,8
2,1,1000,1,5,1,0,3,125,0,125,13
2,1,500,0,5,3,0,3,200,400,400,7
2,1,1000,0,5,3,0,3,125,75,25,7
2,1,1000,0,3,3,0,2,100,0,0,15
2,1,1000,0,4,3,0,3,400,100,150,1
2,1,500,0,5,1,0,1,400,200,0,3
2,2,1000,0,5,3,0,3,400,600,200,7
1,2,500,0,4,1,0,3,400,0,200,11
2,2,500,0,5,2,0,3,50,25,150,8
1,2,1000,1,5,3,0,2,400,0,0,4
2,2,500,0,5,2,0,3,75,25,75,8
1,0,1000,0,5,3,0,2,300,0,0,15
2,0,500,0,5,1,0,3,200,0,150,13
2,1,1000,0,4,3,0,3,150,0,100,1
1,2,500,1,5,2,0,2,100,100,0,2
2,1,500,0,4,2,0,3,125,50,125,10
2,2,500,0,4,2,0,3,150,50,125,5
2,0,1000,0,5,1,0,1,400,200,0,3
2,0,500,0,5,2,0,1,100,0,0,14
1,1,500,1,4,2,0,2,200,600,0,2
1,0,500,0,3,3,0,2,100,50,0,9
2,1,500,0,5,2,0,3,400,200,600,8
2,2,500,0,3,3,0,2,200,100,0,9
2,1,1000,0,4,2,0,3,150,75,100,10
2,2,500,0,4,2,0,3,150,100,100,5
1,2,500,1,4,2,0,1,600,0,0,6
1,0,500,0,4,3,0,2,50,50,0,9
1,1,1000,1,4,2,0,2,200,600,0,2
2,1,1000,1,3,2,0,2,300,50,0,2
2,0,1000,0,5,3,0,2,300,0,0,15
2,0,1000,0,3,3,0,2,400,50,0,9
2,1,500,0,4,2,0,3,100,100,75,10
2,2,1000,0,5,2,0,3,125,75,50,8
2,1,500,1,4,3,0,2,150,0,0,4
2,0,500,1,4,2,0,2,600,600,0,2
2,2,1000,0,4,3,0,3,150,50,100,1
2,1,1000,0,4,3,0,3,400,200,400,1
2,0,500,0,3,3,0,2,100,50,0,9
2,1,500,0,4,3,0,3,200,200,200,1
2,1,500,0,5,2,0,3,125,25,50,8
2,2,500,0,5,3,0,3,300,50,150,7
2,2,500,0,5,3,0,3,25,25,125,7
1,2,500,0,5,3,0,2,400,100,0,9
1,1,500,1,4,2,0,2,20,20,0,2
2,1,1000,0,5,2,0,3,100,100,100,8
1,1,1000,0,3,3,0,2,100,0,0,15
2,1,1000,0,4,2,0,3,125,0,50,5
2,1,1000,0,4,2,0,3,200,400,600,10
2,1,1000,0,3,1,0,2,25,0,10,11
2,2,500,0,5,2,0,3,600,600,400,8
2,0,500,0,4,1,0,3,50,0,150,12
2,2,1000,1,5,3,0,2,400,0,0,4
2,2,1000,0,4,2,0,3,200,600,600,5
2,2,500,0,4,3,0,3,200,0,50,1
2,0,500,0,3,3,0,2,200,200,0,9
1,2,1000,0,3,3,0,2,200,400,0,9
2,1,1000,0,5,3,0,2,400,100,0,9
2,2,1000,0,5,3,0,3,75,75,75,7
2,2,1000,0,5,2,0,1,600,0,0,14
2,2,1000,0,4,2,0,3,400,200,200,5
1,1,1000,0,3,3,0,2,600,200,0,9
2,2,500,0,5,3,0,3,400,50,100,7
2,2,1000,0,5,3,0,3,25,100,100,7
2,2,1000,1,5,1,0,3,400,0,100,13
2,2,500,0,3,3,0,2,200,50,0,9
2,1,500,0,4,3,0,3,400,600,600,1
2,2,1000,0,3,2,0,3,75,25,50,11
2,1,500,0,3,2,0,3,150,100,25,11
2,2,500,0,5,3,0,3,600,400,200,7
2,2,500,0,3,2,0,3,125,100,25,11
1,0,1000,0,3,3,0,2,200,100,0,9
2,1,500,0,4,3,0,3,75,75,75,1
2,2,500,0,5,3,0,3,150,50,75,7
2,1,1000,0,5,1,0,2,125,0,25,11
2,2,1000,0,4,3,0,3,75,75,100,1
2,0,1000,1,5,2,0,1,100,0,0,6
2,1,500,0,5,3,0,3,100,25,125,7
1,2,500,0,4,3,0,2,400,0,0,15
2,1,500,0,4,3,0,3,400,50,200,1
2,2,1000,1,5,2,0,2,600,600,0,2
2,2,1000,0,4,3,0,3,50,25,150,1
2,1,500,0,5,2,0,3,100,0,125,16
2,1,500,0,5,3,0,3,125,100,150,7
1,2,1000,1,5,2,0,2,200,50,0,2
2,2,1000,0,5,2,0,3,150,0,25,16
2,2,500,0,5,2,0,3,300,100,100,8
1,2,1000,0,5,1,0,1,400,50,0,3
2,2,1000,0,5,2,0,3,150,75,150,8
2,1,500,0,5,2,0,3,200,600,200,8
2,0,500,1,5,3,0,2,300,0,0,4
2,1,1000,0,5,2,0,3,400,600,400,8
2,1,500,0,5,2,0,3,100,50,25,8
2,1,1000,0,5,3,0,3,150,50,150,7
1,0,1000,1,5,2,0,1,100,0,0,6
2,2,1000,0,5,2,0,3,400,400,400,8
2,2,500,0,4,3,0,3,125,75,50,1
1,0,500,0,5,3,0,2,400,200,0,9
2,2,1000,0,5,3,0,3,200,200,600,7
1,1,1000,0,4,1,0,3,75,0,50,11
2,1,500,0,4,2,0,3,150,0,25,5
1,2,1000,0,5,2,0,1,600,0,0,14
1,1,500,0,3,3,0,2,600,200,0,9
2,2,500,0,5,3,0,3,25,0,25,16
1,2,500,0,3,3,0,2,200,50,0,9
2,1,1000,1,5,2,0,2,100,100,0,2
2,2,500,0,5,2,0,3,50,0,100,16
2,2,500,0,4,3,0,3,600,200,400,1
2,2,500,1,5,1,0,3,300,0,50,13
2,2,500,0,5,2,0,3,600,0,600,16
2,1,1000,0,4,2,0,3,150,25,125,10
2,1,1000,0,4,3,0,3,150,25,25,1
1,0,500,0,5,3,0,2,100,100,0,9
1,2,1000,1,3,2,0,2,150,100,0,2
2,2,1000,1,5,1,0,3,50,0,125,13
1,1,500,0,3,3,0,2,300,100,0,9
2,1,1000,1,5,2,0,2,400,200,0,2
2,0,500,1,3,2,0,2,200,100,0,2
2,2,1000,0,5,2,0,3,300,100,50,8
2,1,1000,0,5,3,0,3,600,0,200,7
2,1,500,0,5,2,0,3,125,50,75,8
2,2,1000,0,5,3,0,3,150,0,200,7
2,0,500,0,4,1,0,3,400,0,100,12
2,0,1000,0,4,1,0,3,125,0,25,12
2,2,1000,0,3,2,0,1,300,0,0,14
2,1,1000,0,3,1,0,2,20,0,5,11
1,0,1000,1,3,2,0,2,200,200,0,2
2,2,500,0,5,2,0,3,75,0,150,16
1,1,1000,1,5,2,0,1,600,0,0,6
2,2,1000,0,4,2,0,3,300,0,100,5
1,2,1000,0,3,3,0,2,400,600,0,9
2,0,1000,1,3,2,0,2,200,50,0,2
2,0,500,0,3,1,0,3,100,0,25,11
2,2,1000,0,5,2,0,3,300,100,150,8
2,1,500,0,4,1,0,2,25,0,20,13
1,2,1000,0,3,2,0,1,300,0,0,14
2,2,500,0,5,2,0,3,75,25,125,8
2,2,1000,0,5,3,0,3,50,75,25,7
2,2,1000,0,5,3,0,3,200,0,400,7
2,2,500,1,5,2,0,2,50,50,0,2
2,2,500,1,5,1,0,3,50,0,200,13
2,2,1000,0,4,2,0,3,150,25,50,5
2,1,500,0,4,2,0,3,150,75,50,5
2,2,500,0,5,2,0,3,75,50,50,8
2,1,1000,1,5,1,0,3,400,0,50,13
2,1,1000,1,5,2,0,1,600,0,0,6
2,1,500,0,5,2,0,3,100,0,50,16
2,1,1000,0,4,2,0,3,400,100,50,10
2,1,500,0,4,2,0,3,100,50,150,10
2,2,500,0,5,2,0,1,200,0,0,14
2,2,1000,0,3,1,0,2,25,0,5,11
2,0,500,1,3,3,0,2,600,0,0,4
2,1,500,0,4,3,0,3,50,75,25,1
