season,beta,kappa,seed,start_month,moore,suit_thresh,latency_period,a_sd,a_local,a_long,cluster
2,1,500,0,5,3,0,3,50,100,200,13
2,1,500,1,5,1,0,3,200,0,100,17
2,1,1000,0,5,3,0,2,200,400,0,2
1,2,1000,0,3,3,0,2,400,100,0,2
2,2,1000,0,4,2,0,3,400,0,50,15
2,2,500,0,5,3,0,3,125,50,25,13
2,2,1000,0,5,3,0,2,600,200,0,2
2,0,1000,0,3,2,0,1,600,0,0,6
1,0,500,1,5,2,0,1,150,0,0,8
1,1,500,1,5,2,0,2,300,50,0,3
2,1,500,0,4,2,0,3,100,75,50,15
2,2,1000,0,5,3,0,3,75,100,150,13
1,0,1000,0,3,3,0,2,400,400,0,2
2,1,1000,0,4,3,0,3,50,50,125,15
2,1,1000,1,5,1,0,3,100,0,50,17
2,1,500,0,5,3,0,3,75,0,25,13
2,2,500,0,4,3,0,3,50,100,100,15
2,1,500,0,5,2,0,3,400,0,50,14
2,2,500,0,5,3,0,3,100,50,150,13
2,0,1000,0,3,1,0,3,100,0,25,7
2,0,500,1,3,2,0,2,200,600,0,3
2,1,1000,0,4,3,0,3,200,50,150,15
2,2,500,1,4,2,0,2,300,100,0,3
2,2,1000,0,5,2,0,3,125,100,25,14
1,1,1000,0,5,2,0,1,400,0,0,6
1,2,1000,0,5,2,0,3,25,0,50,18
1,1,1000,1,3,2,0,2,600,600,0,3
1,0,500,1,3,2,0,2,200,50,0,3
2,2,1000,0,4,2,0,3,100,25,50,15
2,1,1000,0,4,2,0,3,400,400,400,15
2,0,500,0,5,1,0,3,50,0,25,17
2,0,500,0,5,3,0,2,100,0,0,2
2,1,1000,0,4,2,0,3,400,0,600,15
2,1,500,0,4,2,0,3,200,400,200,15
2,1,500,0,5,2,0,3,150,0,125,14
2,1,500,0,5,2,0,3,200,100,150,14
2,2,1000,0,4,2,0,3,400,600,400,15
2,2,500,1,4,2,0,2,600,200,0,3
2,1,500,0,5,3,0,3,400,0,400,13
1,0,1000,0,5,2,0,1,300,0,0,6
2,2,500,0,5,3,0,3,100,50,75,13
2,1,500,0,4,2,0,3,400,50,100,15
2,2,500,0,4,3,0,3,400,0,200,15
1,2,1000,1,5,2,0,1,400,0,0,9
2,1,1000,1,5,1,0,3,300,0,100,17
2,2,1000,0,5,3,0,2,300,100,0,2
2,2,500,0,5,2,0,3,400,50,200,14
1,0,500,1,5,2,0,2,200,400,0,3
2,1,500,0,4,3,0,3,100,100,125,15
2,2,500,0,4,2,0,3,100,25,125,15
2,1,1000,0,3,2,0,1,100,0,0,6
2,1,1000,0,4,3,0,3,200,200,600,15
2,2,1000,1,5,2,0,1,400,0,0,9
2,1,1000,1,5,2,0,2,150,100,0,3
2,1,500,1,5,1,0,3,200,0,600,17
2,2,1000,0,4,3,0,3,125,75,150,15
2,2,500,0,5,3,0,3,75,50,125,13
2,2,1000,0,3,2,0,3,150,75,25,7
2,1,1000,0,5,2,0,3,400,200,200,14
1,2,1000,1,3,2,0,2,400,200,0,3
2,1,500,0,5,2,0,3,200,200,400,14
1,1,1000,0,3,2,0,1,100,0,0,6
2,0,500,1,3,2,0,2,400,400,0,3
1,0,1000,0,3,3,0,2,200,600,0,2
2,1,1000,0,4,2,0,3,125,50,150,15
2,2,1000,0,4,3,0,3,100,25,100,15
2,1,500,1,5,2,0,2,600,400,0,3
2,1,1000,1,4,1,0,3,150,0,25,18
2,0,1000,1,5,2,0,2,600,400,0,3
2,1,500,1,4,2,0,1,150,0,0,12
2,1,500,0,3,2,0,3,75,75,25,7
2,2,500,0,4,3,0,3,600,600,200,15
2,0,500,0,5,2,0,3,50,0,75,17
2,1,500,0,5,3,0,3,400,400,600,13
2,2,500,0,5,2,0,1,50,0,0,5
1,2,1000,0,5,1,0,1,100,50,0,20
1,2,500,1,4,3,0,2,600,0,0,1
2,0,1000,0,5,2,0,1,300,0,0,6
2,1,1000,0,4,3,0,3,125,25,75,15
2,1,1000,0,5,3,0,2,400,600,0,2
2,2,500,0,4,3,0,3,50,50,25,15
2,1,500,0,5,3,0,3,50,0,200,13
2,1,1000,0,4,3,0,3,150,100,100,15
2,0,500,0,3,1,0,3,150,0,125,7
2,0,1000,0,4,1,0,3,150,0,25,16
1,1,1000,0,5,3,0,2,200,100,0,2
2,2,1000,0,3,3,0,2,400,400,0,2
2,2,500,0,4,2,0,3,125,50,25,15
2,1,500,0,3,3,0,2,400,100,0,2
1,1,1000,1,5,2,0,1,150,0,0,8
1,2,500,1,4,2,0,2,400,600,0,3
2,2,500,0,4,2,0,3,400,200,400,15
1,2,1000,0,4,1,0,3,600,0,400,18
2,2,1000,0,4,2,0,3,75,75,50,15
2,2,1000,0,4,3,0,3,50,0,200,15
2,2,1000,0,5,3,0,3,100,25,50,13
2,2,500,0,5,1,0,1,200,200,0,19
2,2,500,0,5,3,0,3,100,100,100,13
2,2,1000,0,5,3,0,3,200,100,200,13
2,2,500,0,4,3,0,3,200,400,600,15
2,0,1000,0,3,3,0,2,400,100,0,2
2,1,1000,0,5,3,0,3,600,600,400,13
1,2,500,0,4,3,0,2,150,100,0,2
2,2,1000,0,5,3,0,3,300,50,100,13
2,1,500,0,5,3,0,3,100,75,50,13
1,1,500,0,4,1,0,3,200,0,200,18
2,1,500,1,5,1,0,3,100,0,150,17
2,2,500,0,4,3,0,3,150,50,150,15
2,1,500,0,4,3,0,3,125,50,150,15
2,1,1000,0,5,2,0,3,50,50,125,14
1,0,500,0,5,2,0,1,400,0,0,6
2,2,1000,0,5,3,0,3,600,400,400,13
1,0,1000,0,5,3,0,2,600,200,0,2
2,1,500,0,4,2,0,3,600,600,600,15
2,0,500,1,3,3,0,2,150,0,0,1
1,1,1000,0,4,1,0,3,200,0,200,18
2,2,500,0,5,2,0,3,400,400,200,14
1,2,1000,0,4,1,0,3,400,0,150,18
2,0,1000,0,5,1,0,3,100,25,75,17
2,0,500,0,5,1,0,3,150,25,25,17
2,2,500,0,4,2,0,3,400,100,150,15
2,2,500,1,4,2,0,1,300,0,0,10
2,0,500,0,4,1,0,3,600,0,200,16
1,2,500,0,5,2,0,1,50,0,0,5
1,1,500,0,3,3,0,2,50,50,0,2
2,1,1000,0,5,3,0,3,400,0,100,13
1,1,500,0,5,3,0,2,200,0,0,2
1,1,500,0,4,1,0,3,75,0,125,18
2,0,1000,1,3,2,0,2,100,100,0,3
2,1,500,1,3,2,0,2,100,100,0,3
2,2,500,0,4,2,0,3,125,0,125,15
2,2,500,0,4,3,0,3,50,0,125,15
2,1,1000,0,5,2,0,3,100,25,25,14
2,0,500,1,5,2,0,2,300,100,0,3
2,2,1000,0,4,3,0,3,600,200,200,15
1,0,1000,0,5,3,0,2,300,50,0,2
2,2,1000,0,5,3,0,3,50,50,150,13
1,1,500,0,5,3,0,2,200,100,0,2
2,2,1000,0,4,2,0,3,100,0,200,15
2,1,1000,0,4,3,0,3,400,50,100,15
2,1,1000,0,5,3,0,3,25,0,150,13
1,1,1000,1,5,2,0,2,400,50,0,3
1,1,1000,0,5,1,0,1,200,50,0,20
2,1,1000,1,5,2,0,1,150,0,0,8
2,1,1000,1,5,1,0,3,200,0,400,17
2,1,1000,0,5,1,0,2,150,0,25,18
2,1,500,0,4,2,0,1,400,0,0,6
2,1,500,1,3,2,0,2,400,200,0,3
2,0,1000,0,5,1,0,3,125,25,25,17
2,1,1000,0,5,3,0,3,125,100,125,13
1,2,1000,1,5,2,0,2,600,400,0,3
2,2,1000,0,3,3,0,2,300,50,0,2
2,2,1000,0,5,3,0,3,150,25,100,13
2,0,500,0,4,3,0,2,200,50,0,2
2,2,500,0,4,2,0,3,75,50,125,15
2,0,500,1,5,2,0,2,600,200,0,3
2,1,500,0,4,2,0,3,200,50,150,15
2,2,1000,0,4,3,0,3,300,0,50,15
1,1,1000,1,5,2,0,2,200,200,0,3
2,2,500,1,4,2,0,2,25,25,0,4
1,0,500,0,3,2,0,1,100,0,0,6
2,1,1000,0,5,2,0,3,50,100,200,14
2,2,1000,0,5,3,0,3,100,100,150,13
2,2,1000,0,5,2,0,1,150,0,0,6
2,1,1000,0,5,2,0,3,125,25,75,14
1,2,500,1,4,2,0,2,200,400,0,3
2,0,500,0,5,1,0,3,400,0,50,17
2,2,500,0,5,2,0,3,400,100,50,14
2,0,1000,0,5,1,0,3,100,0,50,17
2,1,500,0,5,3,0,3,300,0,50,13
2,2,1000,0,3,3,0,2,200,600,0,2
2,0,1000,1,3,2,0,2,400,200,0,3
2,1,500,0,4,3,0,3,150,50,25,15
2,2,500,0,4,2,0,3,100,50,75,15
2,1,500,0,4,3,0,3,100,0,75,15
2,2,500,0,5,3,0,3,50,0,25,13
2,2,500,0,5,2,0,3,400,0,200,14
2,2,1000,0,4,2,0,3,400,100,100,15
2,1,500,0,4,2,0,3,125,0,25,15
2,2,500,0,4,3,0,3,75,50,75,15
2,1,500,1,4,1,0,3,200,0,50,18
2,1,500,0,4,2,0,3,400,0,400,15
1,2,1000,0,5,2,0,1,150,0,0,6
2,2,1000,1,5,1,0,3,600,0,200,17
2,1,1000,1,5,1,0,3,150,0,200,17
2,1,500,0,4,3,0,3,150,0,125,15
1,0,1000,0,5,3,0,2,300,100,0,2
2,1,1000,0,5,3,0,3,400,0,600,13
2,0,500,0,4,3,0,2,200,0,0,2
2,2,1000,0,5,3,0,3,100,0,75,13
1,0,500,0,4,3,0,2,200,50,0,2
1,1,500,1,5,2,0,2,200,200,0,3
2,1,500,0,5,2,0,3,125,25,125,14
2,2,1000,0,5,2,0,3,125,0,25,14
2,2,500,0,5,2,0,3,150,25,125,14
2,2,1000,1,5,1,0,3,200,0,50,17
2,1,500,1,5,1,0,3,125,0,100,17
2,1,1000,0,4,3,0,3,75,0,25,15
2,0,1000,0,4,1,0,3,75,0,75,16
2,1,500,0,4,2,0,3,75,100,100,15
2,1,1000,0,4,3,0,3,200,50,50,15
1,0,500,1,4,2,0,2,150,100,0,3
2,0,1000,0,5,1,0,3,100,50,50,17
1,0,1000,0,5,1,0,1,300,50,0,20
1,1,1000,0,5,3,0,2,200,50,0,2
2,1,1000,0,4,3,0,3,150,25,150,15
1,0,1000,1,4,3,0,2,200,0,0,1
2,1,500,0,4,2,0,3,75,75,150,15
1,1,1000,0,4,1,0,3,100,0,125,18
2,2,500,0,4,3,0,3,150,100,75,15
2,1,500,0,4,3,0,3,200,100,100,15
2,1,500,0,4,3,0,3,125,100,75,15
2,0,1000,1,4,2,0,2,50,100,0,3
2,1,500,1,5,1,0,3,50,0,75,17
2,0,1000,0,4,3,0,2,150,50,0,2
2,2,1000,0,5,3,0,3,75,50,125,13
2,2,500,0,3,2,0,1,50,0,0,5
2,2,1000,0,5,2,0,3,100,50,200,14
1,2,500,0,4,3,0,2,100,50,0,2
1,1,1000,0,4,1,0,3,400,0,50,18
2,0,500,0,5,1,0,3,150,25,125,17
1,0,500,0,4,3,0,2,400,600,0,2
2,2,500,0,5,3,0,2,300,100,0,2
2,2,500,0,4,3,0,2,100,50,0,2
2,1,1000,0,5,2,0,3,100,0,100,14
2,1,1000,0,4,2,0,3,150,0,50,15
2,2,1000,0,5,3,0,3,50,100,75,13
2,0,500,0,3,1,0,3,300,0,150,7
2,1,1000,0,5,3,0,3,25,25,75,13
2,2,1000,1,5,1,0,3,75,0,25,17
1,0,500,1,3,3,0,2,300,0,0,1
2,0,1000,1,4,3,0,2,200,0,0,1
2,2,1000,1,4,2,0,2,600,200,0,3
2,2,1000,0,5,2,0,3,25,0,100,17
2,2,1000,0,5,3,0,3,100,50,75,13
1,2,500,1,4,2,0,1,150,0,0,12
2,1,500,0,4,3,0,3,100,50,125,15
2,0,1000,0,5,1,0,3,100,0,150,17
2,0,500,0,5,1,0,3,150,0,100,17
2,2,1000,0,4,3,0,3,400,0,200,15
2,1,1000,0,5,2,0,3,75,50,150,14
2,1,1000,0,4,3,0,3,200,0,150,15
1,1,500,0,4,1,0,3,100,0,125,18
2,1,1000,0,3,3,0,3,50,0,50,7
2,2,1000,0,4,2,0,3,150,100,50,15
2,1,1000,1,4,2,0,2,200,400,0,3
2,1,500,1,4,3,0,2,600,0,0,1
1,2,1000,0,4,1,0,3,50,0,125,18
2,2,1000,1,4,2,0,2,300,100,0,3
2,1,1000,0,5,2,0,3,125,0,150,14
2,1,1000,0,5,3,0,3,300,100,100,13
2,2,500,0,4,3,0,3,75,25,50,15
1,0,500,0,4,3,0,2,200,400,0,2
2,1,500,0,4,3,0,3,300,0,150,15
1,2,500,0,4,3,0,2,50,0,0,2
2,2,500,0,5,3,0,3,400,600,400,13
1,2,1000,0,5,1,0,1,150,100,0,20
2,2,500,0,4,2,0,3,100,25,50,15
1,0,500,1,4,2,0,2,400,50,0,3
2,0,500,0,5,1,0,1,200,100,0,20
2,1,1000,0,4,2,0,3,150,75,75,15
2,0,1000,0,5,1,0,3,125,0,100,17
2,2,500,0,5,3,0,2,600,200,0,2
2,2,1000,0,5,3,0,3,125,50,25,13
2,1,500,0,5,2,0,3,125,75,100,14
1,0,1000,0,3,3,0,2,150,0,0,2
2,2,500,0,5,2,0,3,150,75,100,14
2,1,1000,0,4,2,0,3,600,200,400,15
2,2,500,0,4,3,0,2,100,0,0,2
2,2,500,0,4,3,0,2,50,100,0,2
2,1,1000,0,4,3,0,3,300,50,150,15
2,1,500,0,5,2,0,3,100,25,150,14
2,2,500,1,4,2,0,1,50,0,0,11
1,0,1000,0,5,1,0,1,200,200,0,19
2,2,500,1,4,2,0,2,150,50,0,3
1,0,500,1,5,3,0,2,600,0,0,1
2,1,1000,0,4,3,0,3,50,75,50,15
2,0,1000,0,3,3,0,2,150,0,0,2
2,2,1000,0,5,3,0,3,150,75,125,13
1,2,500,0,3,2,0,1,200,0,0,6
2,1,1000,1,4,2,0,2,400,600,0,3
2,0,500,1,4,2,0,2,15,25,0,4
2,2,1000,0,5,3,0,3,125,0,125,13
1,2,500,0,4,1,0,3,600,0,600,18
2,2,500,0,4,1,0,2,25,0,10,18
1,2,500,1,4,2,0,2,150,50,0,3
2,0,1000,0,4,3,0,2,600,400,0,2
1,2,500,0,4,3,0,2,50,100,0,2
2,1,1000,0,5,2,0,3,150,50,125,14
2,2,500,0,5,3,0,3,100,0,200,13
2,1,500,0,5,3,0,3,600,200,600,13
2,0,1000,1,4,2,0,2,100,50,0,3
2,1,1000,0,5,2,0,3,600,400,200,14
2,1,1000,0,5,2,0,3,125,50,50,14
2,1,1000,0,5,2,0,3,75,0,75,14
2,1,500,0,4,3,0,3,300,50,50,15
2,1,500,0,4,3,0,2,600,400,0,2
2,2,1000,0,5,2,0,3,600,600,200,14
2,1,500,0,5,2,0,3,400,100,200,14
2,1,1000,0,4,3,0,2,150,100,0,2
2,1,1000,0,5,2,0,3,100,0,25,14
2,1,1000,0,5,3,0,3,125,0,75,13
2,2,1000,0,5,3,0,3,400,50,150,13
2,0,500,1,4,2,0,2,400,50,0,3
1,1,500,1,4,2,0,2,400,400,0,3
1,2,500,1,3,2,0,2,400,50,0,3
1,0,1000,0,3,3,0,2,600,0,0,2
2,2,500,0,5,2,0,2,20,0,5,18
1,1,500,0,4,2,0,1,100,0,0,6
2,1,500,0,3,1,0,2,15,0,10,18
2,2,500,0,5,3,0,3,300,0,100,13
2,0,500,0,3,2,0,1,400,0,0,6
2,1,500,0,4,1,0,2,100,0,25,17
1,2,1000,0,4,1,0,3,200,0,50,18
2,0,500,0,3,3,0,2,50,100,0,2
2,1,1000,0,4,2,0,3,75,25,150,15
2,0,1000,0,4,1,0,3,25,0,100,16
2,2,500,1,3,2,0,2,200,200,0,3
2,2,1000,0,4,3,0,3,600,0,600,15
2,0,500,1,3,2,0,2,150,50,0,3
2,1,1000,0,5,3,0,2,400,0,0,2
1,2,1000,0,5,3,0,2,400,50,0,2
2,2,1000,0,5,1,0,2,100,0,25,18
2,2,500,0,4,2,0,3,150,0,200,15
2,0,500,0,4,1,0,3,75,0,100,16
1,2,1000,1,3,3,0,2,100,0,0,1
2,2,1000,0,4,2,0,3,150,100,150,15
1,1,1000,0,5,3,0,2,400,0,0,2
1,0,500,1,3,2,0,2,150,50,0,3
2,1,1000,0,5,3,0,3,100,75,75,13
2,2,1000,0,5,2,0,3,200,50,200,14
2,2,500,0,4,3,0,3,50,0,50,15
1,2,500,1,5,2,0,2,400,200,0,3
1,0,500,0,3,3,0,2,50,100,0,2
2,2,500,0,5,2,0,3,125,100,125,14
2,1,500,0,5,2,0,3,50,50,100,14
2,1,1000,0,5,3,0,3,150,0,75,13
2,0,1000,0,5,1,0,1,100,100,0,20
2,2,1000,1,3,3,0,2,100,0,0,1
2,1,500,0,5,3,0,3,25,0,125,13
1,0,1000,0,4,3,0,2,600,600,0,2
2,2,500,0,5,3,0,3,150,25,150,13
2,2,500,0,4,2,0,3,200,0,400,15
2,1,500,0,5,3,0,3,125,25,150,13
2,2,500,0,5,3,0,3,150,25,50,13
1,0,500,1,5,3,0,2,150,0,0,1
2,0,1000,0,3,3,0,2,600,0,0,2
2,1,500,0,5,2,0,3,200,0,200,14
2,2,500,1,3,2,0,2,400,50,0,3
2,2,1000,0,4,3,0,3,75,25,125,15
2,1,500,0,5,1,0,1,100,100,0,20
2,1,500,0,3,3,0,2,200,0,0,2
2,1,500,0,5,3,0,3,100,75,100,13
2,1,1000,0,5,3,0,3,75,0,50,13
2,1,500,0,5,3,0,2,50,50,0,2
2,1,1000,0,5,3,0,3,150,100,75,13
1,1,1000,1,4,2,0,2,400,400,0,3
2,1,1000,0,5,3,0,3,400,400,200,13
2,2,1000,0,4,2,0,3,150,50,75,15
2,1,1000,0,5,2,0,3,300,0,200,14
2,2,500,0,5,2,0,3,75,75,100,14
2,1,1000,1,5,1,0,3,125,0,125,17
2,1,500,0,5,3,0,3,200,400,400,13
2,1,1000,0,5,3,0,3,125,75,25,13
2,1,1000,0,3,3,0,2,100,0,0,2
2,1,1000,0,4,3,0,3,400,100,150,15
2,1,500,0,5,1,0,1,400,200,0,19
2,2,1000,0,5,3,0,3,400,600,200,13
1,2,500,0,4,1,0,3,400,0,200,18
2,2,500,0,5,2,0,3,50,25,150,14
1,2,1000,1,5,3,0,2,400,0,0,1
2,2,500,0,5,2,0,3,75,25,75,14
1,0,1000,0,5,3,0,2,300,0,0,2
2,0,500,0,5,1,0,3,200,0,150,17
2,1,1000,0,4,3,0,3,150,0,100,15
1,2,500,1,5,2,0,2,100,100,0,3
2,1,500,0,4,2,0,3,125,50,125,15
2,2,500,0,4,2,0,3,150,50,125,15
2,0,1000,0,5,1,0,1,400,200,0,19
2,0,500,0,5,2,0,1,100,0,0,5
1,1,500,1,4,2,0,2,200,600,0,3
1,0,500,0,3,3,0,2,100,50,0,2
2,1,500,0,5,2,0,3,400,200,600,14
2,2,500,0,3,3,0,2,200,100,0,2
2,1,1000,0,4,2,0,3,150,75,100,15
2,2,500,0,4,2,0,3,150,100,100,15
1,2,500,1,4,2,0,1,600,0,0,10
1,0,500,0,4,3,0,2,50,50,0,2
1,1,1000,1,4,2,0,2,200,600,0,3
2,1,1000,1,3,2,0,2,300,50,0,3
2,0,1000,0,5,3,0,2,300,0,0,2
2,0,1000,0,3,3,0,2,400,50,0,2
2,1,500,0,4,2,0,3,100,100,75,15
2,2,1000,0,5,2,0,3,125,75,50,14
2,1,500,1,4,3,0,2,150,0,0,1
2,0,500,1,4,2,0,2,600,600,0,3
2,2,1000,0,4,3,0,3,150,50,100,15
2,1,1000,0,4,3,0,3,400,200,400,15
2,0,500,0,3,3,0,2,100,50,0,2
2,1,500,0,4,3,0,3,200,200,200,15
2,1,500,0,5,2,0,3,125,25,50,14
2,2,500,0,5,3,0,3,300,50,150,13
2,2,500,0,5,3,0,3,25,25,125,13
1,2,500,0,5,3,0,2,400,100,0,2
1,1,500,1,4,2,0,2,20,20,0,4
2,1,1000,0,5,2,0,3,100,100,100,14
1,1,1000,0,3,3,0,2,100,0,0,2
2,1,1000,0,4,2,0,3,125,0,50,15
2,1,1000,0,4,2,0,3,200,400,600,15
2,1,1000,0,3,1,0,2,25,0,10,18
2,2,500,0,5,2,0,3,600,600,400,14
2,0,500,0,4,1,0,3,50,0,150,16
2,2,1000,1,5,3,0,2,400,0,0,1
2,2,1000,0,4,2,0,3,200,600,600,15
2,2,500,0,4,3,0,3,200,0,50,15
2,0,500,0,3,3,0,2,200,200,0,2
1,2,1000,0,3,3,0,2,200,400,0,2
2,1,1000,0,5,3,0,2,400,100,0,2
2,2,1000,0,5,3,0,3,75,75,75,13
2,2,1000,0,5,2,0,1,600,0,0,6
2,2,1000,0,4,2,0,3,400,200,200,15
1,1,1000,0,3,3,0,2,600,200,0,2
2,2,500,0,5,3,0,3,400,50,100,13
2,2,1000,0,5,3,0,3,25,100,100,13
2,2,1000,1,5,1,0,3,400,0,100,17
2,2,500,0,3,3,0,2,200,50,0,2
2,1,500,0,4,3,0,3,400,600,600,15
2,2,1000,0,3,2,0,3,75,25,50,7
2,1,500,0,3,2,0,3,150,100,25,7
2,2,500,0,5,3,0,3,600,400,200,13
2,2,500,0,3,2,0,3,125,100,25,7
1,0,1000,0,3,3,0,2,200,100,0,2
2,1,500,0,4,3,0,3,75,75,75,15
2,2,500,0,5,3,0,3,150,50,75,13
2,1,1000,0,5,1,0,2,125,0,25,18
2,2,1000,0,4,3,0,3,75,75,100,15
2,0,1000,1,5,2,0,1,100,0,0,8
2,1,500,0,5,3,0,3,100,25,125,13
1,2,500,0,4,3,0,2,400,0,0,2
2,1,500,0,4,3,0,3,400,50,200,15
2,2,1000,1,5,2,0,2,600,600,0,3
2,2,1000,0,4,3,0,3,50,25,150,15
2,1,500,0,5,2,0,3,100,0,125,14
2,1,500,0,5,3,0,3,125,100,150,13
1,2,1000,1,5,2,0,2,200,50,0,3
2,2,1000,0,5,2,0,3,150,0,25,14
2,2,500,0,5,2,0,3,300,100,100,14
1,2,1000,0,5,1,0,1,400,50,0,20
2,2,1000,0,5,2,0,3,150,75,150,14
2,1,500,0,5,2,0,3,200,600,200,14
2,0,500,1,5,3,0,2,300,0,0,1
2,1,1000,0,5,2,0,3,400,600,400,14
2,1,500,0,5,2,0,3,100,50,25,14
2,1,1000,0,5,3,0,3,150,50,150,13
1,0,1000,1,5,2,0,1,100,0,0,8
2,2,1000,0,5,2,0,3,400,400,400,14
2,2,500,0,4,3,0,3,125,75,50,15
1,0,500,0,5,3,0,2,400,200,0,2
2,2,1000,0,5,3,0,3,200,200,600,13
1,1,1000,0,4,1,0,3,75,0,50,18
2,1,500,0,4,2,0,3,150,0,25,15
1,2,1000,0,5,2,0,1,600,0,0,6
1,1,500,0,3,3,0,2,600,200,0,2
2,2,500,0,5,3,0,3,25,0,25,14
1,2,500,0,3,3,0,2,200,50,0,2
2,1,1000,1,5,2,0,2,100,100,0,3
2,2,500,0,5,2,0,3,50,0,100,14
2,2,500,0,4,3,0,3,600,200,400,15
2,2,500,1,5,1,0,3,300,0,50,17
2,2,500,0,5,2,0,3,600,0,600,14
2,1,1000,0,4,2,0,3,150,25,125,15
2,1,1000,0,4,3,0,3,150,25,25,15
1,0,500,0,5,3,0,2,100,100,0,2
1,2,1000,1,3,2,0,2,150,100,0,3
2,2,1000,1,5,1,0,3,50,0,125,17
1,1,500,0,3,3,0,2,300,100,0,2
2,1,1000,1,5,2,0,2,400,200,0,3
2,0,500,1,3,2,0,2,200,100,0,3
2,2,1000,0,5,2,0,3,300,100,50,14
2,1,1000,0,5,3,0,3,600,0,200,13
2,1,500,0,5,2,0,3,125,50,75,14
2,2,1000,0,5,3,0,3,150,0,200,13
2,0,500,0,4,1,0,3,400,0,100,16
2,0,1000,0,4,1,0,3,125,0,25,16
2,2,1000,0,3,2,0,1,300,0,0,6
2,1,1000,0,3,1,0,2,20,0,5,18
1,0,1000,1,3,2,0,2,200,200,0,3
2,2,500,0,5,2,0,3,75,0,150,14
1,1,1000,1,5,2,0,1,600,0,0,9
2,2,1000,0,4,2,0,3,300,0,100,15
1,2,1000,0,3,3,0,2,400,600,0,2
2,0,1000,1,3,2,0,2,200,50,0,3
2,0,500,0,3,1,0,3,100,0,25,7
2,2,1000,0,5,2,0,3,300,100,150,14
2,1,500,0,4,1,0,2,25,0,20,17
1,2,1000,0,3,2,0,1,300,0,0,6
2,2,500,0,5,2,0,3,75,25,125,14
2,2,1000,0,5,3,0,3,50,75,25,13
2,2,1000,0,5,3,0,3,200,0,400,13
2,2,500,1,5,2,0,2,50,50,0,3
2,2,500,1,5,1,0,3,50,0,200,17
2,2,1000,0,4,2,0,3,150,25,50,15
2,1,500,0,4,2,0,3,150,75,50,15
2,2,500,0,5,2,0,3,75,50,50,14
2,1,1000,1,5,1,0,3,400,0,50,17
2,1,1000,1,5,2,0,1,600,0,0,9
2,1,500,0,5,2,0,3,100,0,50,14
2,1,1000,0,4,2,0,3,400,100,50,15
2,1,500,0,4,2,0,3,100,50,150,15
2,2,500,0,5,2,0,1,200,0,0,6
2,2,1000,0,3,1,0,2,25,0,5,18
2,0,500,1,3,3,0,2,600,0,0,1
2,1,500,0,4,3,0,3,50,75,25,15
1,1,1000,0,3,3,0,2,300,100,0,2
1,1,500,1,4,3,0,2,300,0,0,1
1,0,500,1,5,2,0,2,400,100,0,3
2,2,1000,0,4,3,0,3,150,100,25,15
2,2,500,0,4,3,0,2,600,600,0,2
2,2,1000,0,4,2,0,3,100,0,50,15
2,2,1000,0,4,2,0,3,125,25,100,15
2,2,500,0,5,3,0,3,200,50,150,13
2,1,1000,0,4,3,0,3,100,50,150,15
2,1,1000,0,5,3,0,3,50,100,100,13
2,1,1000,0,5,3,0,3,50,0,100,13
2,0,1000,0,5,1,0,3,400,0,50,17
2,1,500,0,4,3,0,3,100,50,25,15
2,2,1000,0,4,2,0,3,100,75,150,15
2,1,1000,0,5,2,0,3,400,100,100,14
2,0,500,0,5,1,0,3,100,0,50,17
2,0,1000,0,4,3,0,2,200,50,0,2
2,1,1000,0,5,3,0,3,50,25,125,13
2,2,1000,0,5,3,0,3,25,25,125,14
1,1,500,0,5,3,0,2,400,400,0,2
2,0,500,0,5,1,0,3,100,50,125,17
1,1,1000,0,5,3,0,2,150,50,0,2
2,2,1000,0,5,2,0,3,50,25,75,14
2,0,500,0,5,1,0,3,125,25,75,17
1,0,500,0,3,3,0,2,600,400,0,2
1,1,1000,1,5,2,0,2,50,100,0,3
2,2,500,0,5,2,0,3,125,75,50,14
2,1,500,0,4,3,0,3,400,100,50,15
1,0,1000,1,4,2,0,1,200,0,0,12
2,1,500,0,4,3,0,3,50,100,25,15
2,0,500,1,4,2,0,2,20,15,0,4
2,0,500,0,5,2,0,3,25,0,75,17
2,1,500,1,4,2,0,1,600,0,0,10
2,2,1000,0,3,3,0,2,200,100,0,2
1,1,1000,0,5,3,0,2,400,400,0,2
1,0,1000,1,5,2,0,2,600,600,0,3
2,0,1000,1,4,2,0,1,200,0,0,12
2,1,500,0,3,3,0,2,200,400,0,2
2,2,1000,0,4,3,0,3,125,100,125,15
1,2,500,1,4,3,0,2,150,0,0,1
2,2,500,0,5,3,0,3,150,100,150,13
2,1,500,0,4,3,0,3,150,25,125,15
2,1,1000,0,5,2,0,3,25,25,150,14
2,1,1000,1,5,1,0,3,100,0,200,17
2,1,500,0,4,3,0,3,100,0,125,15
2,2,1000,0,5,2,0,3,50,25,150,14
2,1,500,0,5,3,0,3,300,100,200,13
2,2,500,0,4,3,0,3,125,25,125,15
2,2,500,1,4,2,0,2,20,20,0,4
2,0,1000,0,3,3,0,2,200,400,0,2
2,0,1000,0,5,1,0,3,150,25,125,17
2,2,500,0,4,2,0,3,150,50,75,15
2,2,1000,0,5,2,0,3,75,75,100,14
2,1,1000,0,4,2,0,3,200,0,50,15
2,1,1000,1,4,1,0,3,125,0,25,18
1,2,500,0,4,3,0,2,400,200,0,2
